Poet writer,Poet Name
سنا ہے لوگ اسے آنکھ بھر کے دیکھتے ہیں ; سو اس کے شہر میں کچھ دن ٹھہر کے دیکھتے ہیں,احمد فراز
سنا ہے ربط ہے اس کو خراب حالوں سے ; سو اپنے آپ کو برباد کر کے دیکھتے ہیں,احمد فراز
سنا ہے درد کی گاہک ہے چشم ناز اس کی ; سو ہم بھی اس کی گلی سے گزر کے دیکھتے ہیں,احمد فراز
سنا ہے اس کو بھی ہے شعر و شاعری سے شغف ; سو ہم بھی معجزے اپنے ہنر کے دیکھتے ہیں,احمد فراز
سنا ہے بولے تو باتوں سے پھول جھڑتے ہیں ; یہ بات ہے تو چلو بات کر کے دیکھتے ہیں,احمد فراز
سنا ہے رات اسے چاند تکتا رہتا ہے ; ستارے بام فلک سے اتر کے دیکھتے ہیں,احمد فراز
سنا ہے دن کو اسے تتلیاں ستاتی ہیں ; سنا ہے رات کو جگنو ٹھہر کے دیکھتے ہیں,احمد فراز
سنا ہے حشر ہیں اس کی غزال سی آنکھیں ; سنا ہے اس کو ہرن دشت بھر کے دیکھتے ہیں,احمد فراز
سنا ہے رات سے بڑھ کر ہیں کاکلیں اس کی ; سنا ہے شام کو سائے گزر کے دیکھتے ہیں,احمد فراز
سنا ہے اس کی سیہ چشمگی قیامت ہے ; سو اس کو سرمہ فروش آہ بھر کے دیکھتے ہیں,احمد فراز
سنا ہے اس کے لبوں سے گلاب جلتے ہیں ; سو ہم بہار پہ الزام دھر کے دیکھتے ہیں,احمد فراز
سنا ہے آئنہ تمثال ہے جبیں اس کی ; جو سادہ دل ہیں اسے بن سنور کے دیکھتے ہیں,احمد فراز
سنا ہے جب سے حمائل ہیں اس کی گردن میں ; مزاج اور ہی لعل و گہر کے دیکھتے ہیں,احمد فراز
سنا ہے چشم تصور سے دشت امکاں میں ; پلنگ زاویے اس کی کمر کے دیکھتے ہیں,احمد فراز
سنا ہے اس کے بدن کی تراش ایسی ہے ; کہ پھول اپنی قبائیں کتر کے دیکھتے ہیں,احمد فراز
وہ سرو قد ہے مگر بے گل مراد نہیں ; کہ اس شجر پہ شگوفے ثمر کے دیکھتے ہیں,احمد فراز
بس اک نگاہ سے لٹتا ہے قافلہ دل کا ; سو رہروان تمنا بھی ڈر کے دیکھتے ہیں,احمد فراز
سنا ہے اس کے شبستاں سے متصل ہے بہشت ; مکیں ادھر کے بھی جلوے ادھر کے دیکھتے ہیں,احمد فراز
رکے تو گردشیں اس کا طواف کرتی ہیں ; چلے تو اس کو زمانے ٹھہر کے دیکھتے ہیں,احمد فراز
کسے نصیب کہ بے پیرہن اسے دیکھے ; کبھی کبھی در و دیوار گھر کے دیکھتے ہیں,احمد فراز
کہانیاں ہی سہی سب مبالغے ہی سہی ; اگر وہ خواب ہے تعبیر کر کے دیکھتے ہیں,احمد فراز
اب اس کے شہر میں ٹھہریں کہ کوچ کر جائیں ; فرازؔ آؤ ستارے سفر کے دیکھتے ہیں,احمد فراز
رنجش ہی سہی دل ہی دکھانے کے لیے آ ; آ پھر سے مجھے چھوڑ کے جانے کے لیے آ,احمد فراز
کچھ تو مرے پندار محبت کا بھرم رکھ ; تو بھی تو کبھی مجھ کو منانے کے لیے آ,احمد فراز
پہلے سے مراسم نہ سہی پھر بھی کبھی تو ; رسم و رہ دنیا ہی نبھانے کے لیے آ,احمد فراز
کس کس کو بتائیں گے جدائی کا سبب ہم ; تو مجھ سے خفا ہے تو زمانے کے لیے آ,احمد فراز
اک عمر سے ہوں لذت گریہ سے بھی محروم ; اے راحت جاں مجھ کو رلانے کے لیے آ,احمد فراز
اب تک دل خوش فہم کو تجھ سے ہیں امیدیں ; یہ آخری شمعیں بھی بجھانے کے لیے آ,احمد فراز
اب کے ہم بچھڑے تو شاید کبھی خوابوں میں ملیں ; جس طرح سوکھے ہوئے پھول کتابوں میں ملیں,احمد فراز
ڈھونڈ اجڑے ہوئے لوگوں میں وفا کے موتی ; یہ خزانے تجھے ممکن ہے خرابوں میں ملیں,احمد فراز
غم دنیا بھی غم یار میں شامل کر لو ; نشہ بڑھتا ہے شرابیں جو شرابوں میں ملیں,احمد فراز
تو خدا ہے نہ مرا عشق فرشتوں جیسا ; دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں,احمد فراز
آج ہم دار پہ کھینچے گئے جن باتوں پر ; کیا عجب کل وہ زمانے کو نصابوں میں ملیں,احمد فراز
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ ; جیسے دو شخص تمنا کے سرابوں میں ملیں,احمد فراز
اس سے پہلے کہ بے وفا ہو جائیں ; کیوں نہ اے دوست ہم جدا ہو جائیں,احمد فراز
تو بھی ہیرے سے بن گیا پتھر ; ہم بھی کل جانے کیا سے کیا ہو جائیں,احمد فراز
تو کہ یکتا تھا بے شمار ہوا ; ہم بھی ٹوٹیں تو جا بجا ہو جائیں,احمد فراز
ہم بھی مجبوریوں کا عذر کریں ; پھر کہیں اور مبتلا ہو جائیں,احمد فراز
ہم اگر منزلیں نہ بن پائے ; منزلوں تک کا راستا ہو جائیں,احمد فراز
دیر سے سوچ میں ہیں پروانے ; راکھ ہو جائیں یا ہوا ہو جائیں,احمد فراز
عشق بھی کھیل ہے نصیبوں کا ; خاک ہو جائیں کیمیا ہو جائیں,احمد فراز
اب کے گر تو ملے تو ہم تجھ سے ; ایسے لپٹیں تری قبا ہو جائیں,احمد فراز
بندگی ہم نے چھوڑ دی ہے فرازؔ ; کیا کریں لوگ جب خدا ہو جائیں,احمد فراز
آنکھ سے دور نہ ہو دل سے اتر جائے گا ; وقت کا کیا ہے گزرتا ہے گزر جائے گا,احمد فراز
اتنا مانوس نہ ہو خلوت غم سے اپنی ; تو کبھی خود کو بھی دیکھے گا تو ڈر جائے گا,احمد فراز
ڈوبتے ڈوبتے کشتی کو اچھالا دے دوں ; میں نہیں کوئی تو ساحل پہ اتر جائے گا,احمد فراز
زندگی تیری عطا ہے تو یہ جانے والا ; تیری بخشش تری دہلیز پہ دھر جائے گا,احمد فراز
ضبط لازم ہے مگر دکھ ہے قیامت کا فرازؔ ; ظالم اب کے بھی نہ روئے گا تو مر جائے گا,احمد فراز
زندگی سے یہی گلہ ہے مجھے ; تو بہت دیر سے ملا ہے مجھے,احمد فراز
تو محبت سے کوئی چال تو چل ; ہار جانے کا حوصلہ ہے مجھے,احمد فراز
دل دھڑکتا نہیں ٹپکتا ہے ; کل جو خواہش تھی آبلہ ہے مجھے,احمد فراز
ہم سفر چاہیئے ہجوم نہیں ; اک مسافر بھی قافلہ ہے مجھے,احمد فراز
